,Conf. ID,Criterion,N_Estimators,Max_Depth,Max_Features,P1,P2,P3,P4,P5,Promedio
0,0,gini,90,None,auto,0.4,0.575,0.575,0.5,0.475,0.505
1,1,gini,90,None,sqrt,0.475,0.6,0.55,0.55,0.5,0.5349999999999999
2,2,gini,90,None,log2,0.425,0.575,0.575,0.525,0.475,0.515
3,3,gini,90,5,auto,0.55,0.6,0.6,0.55,0.6,0.58
4,4,gini,90,5,sqrt,0.475,0.625,0.55,0.575,0.575,0.5599999999999999
5,5,gini,90,5,log2,0.575,0.625,0.525,0.575,0.6,0.58
6,6,gini,90,10,auto,0.45,0.575,0.525,0.5,0.475,0.505
7,7,gini,90,10,sqrt,0.475,0.575,0.5,0.5,0.4,0.48999999999999994
8,8,gini,90,10,log2,0.475,0.575,0.525,0.475,0.5,0.51
9,9,gini,90,3,auto,0.575,0.65,0.525,0.575,0.575,0.5800000000000001
10,10,gini,90,3,sqrt,0.55,0.675,0.575,0.525,0.6,0.5850000000000001
11,11,gini,90,3,log2,0.5,0.625,0.55,0.575,0.575,0.5650000000000001
12,12,gini,100,None,auto,0.375,0.575,0.55,0.525,0.5,0.505
13,13,gini,100,None,sqrt,0.4,0.525,0.6,0.525,0.5,0.51
14,14,gini,100,None,log2,0.425,0.55,0.55,0.575,0.45,0.51
15,15,gini,100,5,auto,0.55,0.625,0.575,0.525,0.65,0.585
16,16,gini,100,5,sqrt,0.55,0.6,0.55,0.55,0.6,0.5700000000000001
17,17,gini,100,5,log2,0.55,0.65,0.575,0.55,0.625,0.5900000000000001
18,18,gini,100,10,auto,0.475,0.575,0.625,0.475,0.475,0.525
19,19,gini,100,10,sqrt,0.4,0.575,0.525,0.5,0.45,0.49000000000000005
20,20,gini,100,10,log2,0.475,0.6,0.525,0.5,0.425,0.505
21,21,gini,100,3,auto,0.45,0.675,0.575,0.575,0.575,0.57
22,22,gini,100,3,sqrt,0.475,0.65,0.5,0.6,0.6,0.5650000000000001
23,23,gini,100,3,log2,0.55,0.675,0.575,0.575,0.6,0.595
24,24,gini,150,None,auto,0.4,0.525,0.575,0.5,0.45,0.49000000000000005
25,25,gini,150,None,sqrt,0.425,0.6,0.625,0.45,0.475,0.515
26,26,gini,150,None,log2,0.4,0.55,0.55,0.5,0.5,0.5
27,27,gini,150,5,auto,0.5,0.65,0.575,0.575,0.625,0.585
28,28,gini,150,5,sqrt,0.475,0.65,0.55,0.6,0.575,0.57
29,29,gini,150,5,log2,0.55,0.575,0.475,0.575,0.65,0.565
30,30,gini,150,10,auto,0.425,0.55,0.525,0.5,0.525,0.505
31,31,gini,150,10,sqrt,0.45,0.55,0.6,0.55,0.45,0.5200000000000001
32,32,gini,150,10,log2,0.45,0.55,0.6,0.5,0.45,0.51
33,33,gini,150,3,auto,0.55,0.675,0.575,0.575,0.6,0.595
34,34,gini,150,3,sqrt,0.45,0.675,0.575,0.6,0.575,0.575
35,35,gini,150,3,log2,0.55,0.675,0.575,0.575,0.575,0.5900000000000001
36,36,gini,200,None,auto,0.4,0.575,0.575,0.475,0.475,0.5
37,37,gini,200,None,sqrt,0.35,0.575,0.575,0.525,0.45,0.495
38,38,gini,200,None,log2,0.425,0.55,0.6,0.5,0.525,0.52
39,39,gini,200,5,auto,0.525,0.675,0.6,0.6,0.6,0.6000000000000001
40,40,gini,200,5,sqrt,0.475,0.65,0.575,0.6,0.625,0.585
41,41,gini,200,5,log2,0.6,0.625,0.55,0.55,0.6,0.5850000000000001
42,42,gini,200,10,auto,0.45,0.6,0.575,0.55,0.5,0.5349999999999999
43,43,gini,200,10,sqrt,0.45,0.575,0.575,0.575,0.5,0.5349999999999999
44,44,gini,200,10,log2,0.5,0.6,0.525,0.525,0.425,0.5149999999999999
45,45,gini,200,3,auto,0.525,0.675,0.55,0.575,0.575,0.5800000000000001
46,46,gini,200,3,sqrt,0.475,0.675,0.6,0.575,0.6,0.5850000000000001
47,47,gini,200,3,log2,0.475,0.675,0.575,0.575,0.575,0.575
48,48,entropy,90,None,auto,0.425,0.575,0.6,0.525,0.5,0.525
49,49,entropy,90,None,sqrt,0.425,0.575,0.5,0.5,0.425,0.485
50,50,entropy,90,None,log2,0.4,0.6,0.625,0.525,0.475,0.525
51,51,entropy,90,5,auto,0.55,0.65,0.575,0.525,0.575,0.575
52,52,entropy,90,5,sqrt,0.5,0.6,0.55,0.55,0.6,0.56
53,53,entropy,90,5,log2,0.575,0.6,0.55,0.575,0.625,0.585
54,54,entropy,90,10,auto,0.5,0.6,0.525,0.55,0.475,0.53
55,55,entropy,90,10,sqrt,0.425,0.575,0.55,0.475,0.45,0.495
56,56,entropy,90,10,log2,0.4,0.575,0.55,0.55,0.475,0.51
57,57,entropy,90,3,auto,0.45,0.675,0.6,0.575,0.6,0.58
58,58,entropy,90,3,sqrt,0.45,0.675,0.55,0.575,0.6,0.5700000000000001
59,59,entropy,90,3,log2,0.45,0.675,0.55,0.575,0.575,0.5650000000000001
60,60,entropy,100,None,auto,0.425,0.55,0.575,0.55,0.5,0.52
61,61,entropy,100,None,sqrt,0.45,0.55,0.625,0.55,0.475,0.53
62,62,entropy,100,None,log2,0.45,0.5,0.55,0.475,0.425,0.48
